disease_name,state,year,no_of_death,county_name
"Cerebrovascular Disease",MO,2011,17,Pemiscot
"Cerebrovascular Disease",WA,2011,12,"Pend Oreille"
"Cerebrovascular Disease",NC,2011,19,Pender
"Cerebrovascular Disease",KY,2011,3,Pendleton
"Cerebrovascular Disease",WV,2011,3,Pendleton
"Cerebrovascular Disease",MN,2011,18,Pennington
"Cerebrovascular Disease",SD,2011,54,Pennington
"Cerebrovascular Disease",ME,2011,136,Penobscot
"Cerebrovascular Disease",IL,2011,256,Peoria
"Cerebrovascular Disease",WI,2011,4,Pepin
"Cerebrovascular Disease",NE,2011,0,Perkins
"Cerebrovascular Disease",SD,2011,3,Perkins
"Cerebrovascular Disease",NC,2011,12,Perquimans
"Cerebrovascular Disease",AL,2011,9,Perry
"Cerebrovascular Disease",AR,2011,8,Perry
"Cerebrovascular Disease",IL,2011,28,Perry
"Cerebrovascular Disease",IN,2011,33,Perry
"Cerebrovascular Disease",KY,2011,61,Perry
"Cerebrovascular Disease",MO,2011,21,Perry
"Cerebrovascular Disease",MS,2011,7,Perry
"Cerebrovascular Disease",OH,2011,38,Perry
"Cerebrovascular Disease",PA,2011,99,Perry
"Cerebrovascular Disease",TN,2011,2,Perry
"Cerebrovascular Disease",NV,2011,11,Pershing
"Cerebrovascular Disease",NC,2011,16,Person
"Cerebrovascular Disease",VA,2011,13,"Petersburg City"
"Cerebrovascular Disease",MT,2011,1,Petroleum
"Cerebrovascular Disease",MO,2011,25,Pettis
"Cerebrovascular Disease",MO,2011,28,Phelps
"Cerebrovascular Disease",NE,2011,6,Phelps
"Cerebrovascular Disease",PA,2011,1506,Philadelphia
"Cerebrovascular Disease",AR,2011,23,Phillips
"Cerebrovascular Disease",CO,2011,3,Phillips
"Cerebrovascular Disease",KS,2011,8,Phillips
"Cerebrovascular Disease",MT,2011,3,Phillips
"Cerebrovascular Disease",IL,2011,7,Piatt
"Cerebrovascular Disease",OH,2011,27,Pickaway
"Cerebrovascular Disease",AL,2011,13,Pickens
"Cerebrovascular Disease",GA,2011,30,Pickens
"Cerebrovascular Disease",SC,2011,95,Pickens
"Cerebrovascular Disease",TN,2011,3,Pickett
"Cerebrovascular Disease",GA,2011,12,Pierce
"Cerebrovascular Disease",ND,2011,4,Pierce
"Cerebrovascular Disease",NE,2011,3,Pierce
"Cerebrovascular Disease",WA,2011,609,Pierce
"Cerebrovascular Disease",WI,2011,68,Pierce
"Cerebrovascular Disease",AL,2011,12,Pike
"Cerebrovascular Disease",AR,2011,5,Pike
"Cerebrovascular Disease",GA,2011,14,Pike
"Cerebrovascular Disease",IL,2011,17,Pike
"Cerebrovascular Disease",IN,2011,18,Pike
"Cerebrovascular Disease",KY,2011,92,Pike
"Cerebrovascular Disease",MO,2011,29,Pike
"Cerebrovascular Disease",MS,2011,26,Pike
"Cerebrovascular Disease",OH,2011,27,Pike
"Cerebrovascular Disease",PA,2011,34,Pike
"Cerebrovascular Disease",AZ,2011,1917,Pima
"Cerebrovascular Disease",AZ,2011,101,Pinal
"Cerebrovascular Disease",MN,2011,14,Pine
"Cerebrovascular Disease",FL,2011,609,Pinellas
"Cerebrovascular Disease",MN,2011,4,Pipestone
"Cerebrovascular Disease",ME,2011,35,Piscataquis
"Cerebrovascular Disease",CO,2011,15,Pitkin
"Cerebrovascular Disease",NC,2011,58,Pitt
"Cerebrovascular Disease",OK,2011,35,Pittsburg
"Cerebrovascular Disease",VA,2011,58,Pittsylvania
"Cerebrovascular Disease",UT,2011,0,Piute
"Cerebrovascular Disease",CA,2011,551,Placer
"Cerebrovascular Disease",LA,2011,6,Plaquemines
"Cerebrovascular Disease",MO,2011,42,Platte
"Cerebrovascular Disease",NE,2011,18,Platte
"Cerebrovascular Disease",WY,2011,8,Platte
"Cerebrovascular Disease",WV,2011,7,Pleasants
"Cerebrovascular Disease",CA,2011,14,Plumas
"Cerebrovascular Disease",IA,2011,10,Plymouth
"Cerebrovascular Disease",MA,2011,772,Plymouth
"Cerebrovascular Disease",IA,2011,9,Pocahontas
"Cerebrovascular Disease",WV,2011,9,Pocahontas
"Cerebrovascular Disease",AR,2011,15,Poinsett
"Cerebrovascular Disease",LA,2011,28,"Pointe Coupee"
"Cerebrovascular Disease",AR,2011,13,Polk
"Cerebrovascular Disease",FL,2011,422,Polk
"Cerebrovascular Disease",GA,2011,27,Polk
"Cerebrovascular Disease",IA,2011,149,Polk
"Cerebrovascular Disease",MN,2011,49,Polk
"Cerebrovascular Disease",MO,2011,23,Polk
"Cerebrovascular Disease",NC,2011,18,Polk
"Cerebrovascular Disease",NE,2011,7,Polk
"Cerebrovascular Disease",OR,2011,98,Polk
"Cerebrovascular Disease",TN,2011,9,Polk
"Cerebrovascular Disease",TX,2011,63,Polk
"Cerebrovascular Disease",WI,2011,23,Polk
"Cerebrovascular Disease",MT,2011,5,Pondera
"Cerebrovascular Disease",MS,2011,46,Pontotoc
"Cerebrovascular Disease",OK,2011,24,Pontotoc
"Cerebrovascular Disease",AR,2011,22,Pope
"Cerebrovascular Disease",IL,2011,0,Pope
"Cerebrovascular Disease",MN,2011,8,Pope
"Cerebrovascular Disease",VA,2011,4,"Poquoson City"
"Cerebrovascular Disease",OH,2011,252,Portage
"Cerebrovascular Disease",WI,2011,34,Portage
"Cerebrovascular Disease",IN,2011,218,Porter
"Cerebrovascular Disease",VA,2011,92,"Portsmouth City"
"Cerebrovascular Disease",IN,2011,18,Posey
"Cerebrovascular Disease",KS,2011,5,Pottawatomie
"Cerebrovascular Disease",OK,2011,123,Pottawatomie
"Cerebrovascular Disease",IA,2011,54,Pottawattamie
"Cerebrovascular Disease",PA,2011,26,Potter
"Cerebrovascular Disease",SD,2011,1,Potter
"Cerebrovascular Disease",TX,2011,87,Potter
"Cerebrovascular Disease",MT,2011,2,"Powder River"
"Cerebrovascular Disease",KY,2011,9,Powell
"Cerebrovascular Disease",MT,2011,3,Powell
"Cerebrovascular Disease",ID,2011,3,Power
"Cerebrovascular Disease",IA,2011,15,Poweshiek
"Cerebrovascular Disease",VA,2011,7,Powhatan
"Cerebrovascular Disease",AR,2011,4,Prairie
"Cerebrovascular Disease",MT,2011,1,Prairie
"Cerebrovascular Disease",KS,2011,14,Pratt
"Cerebrovascular Disease",OH,2011,38,Preble
"Cerebrovascular Disease",MS,2011,13,Prentiss
"Cerebrovascular Disease",TX,2011,8,Presidio
"Cerebrovascular Disease",MI,2011,15,"Presque Isle"
"Cerebrovascular Disease",WV,2011,26,Preston
"Cerebrovascular Disease",WI,2011,4,Price
"Cerebrovascular Disease",VA,2011,10,"Prince Edward"
"Cerebrovascular Disease",VA,2011,20,"Prince George"
"Cerebrovascular Disease",MD,2011,391,"Prince George's"
"Cerebrovascular Disease",AK,2011,8,"Prince of Wales-Outer Ketchikan"
"Cerebrovascular Disease",VA,2011,406,"Prince William"
"Cerebrovascular Disease",RI,2011,666,Providence
"Cerebrovascular Disease",CO,2011,13,Prowers
"Cerebrovascular Disease",CO,2011,134,Pueblo
"Cerebrovascular Disease",AR,2011,301,Pulaski
"Cerebrovascular Disease",GA,2011,7,Pulaski
"Cerebrovascular Disease",IL,2011,6,Pulaski
"Cerebrovascular Disease",IN,2011,14,Pulaski
"Cerebrovascular Disease",KY,2011,67,Pulaski
"Cerebrovascular Disease",MO,2011,13,Pulaski
"Cerebrovascular Disease",VA,2011,43,Pulaski
"Cerebrovascular Disease",OK,2011,14,Pushmataha
"Cerebrovascular Disease",FL,2011,87,Putnam
"Cerebrovascular Disease",GA,2011,33,Putnam
"Cerebrovascular Disease",IL,2011,3,Putnam
"Cerebrovascular Disease",IN,2011,35,Putnam
"Cerebrovascular Disease",MO,2011,3,Putnam
"Cerebrovascular Disease",NY,2011,80,Putnam
"Cerebrovascular Disease",OH,2011,18,Putnam
"Cerebrovascular Disease",TN,2011,37,Putnam
"Cerebrovascular Disease",WV,2011,64,Putnam
"Cerebrovascular Disease",NM,2011,2,Quay
"Cerebrovascular Disease",MD,2011,51,"Queen Anne's"
"Cerebrovascular Disease",NY,2011,1254,Queens
"Cerebrovascular Disease",GA,2011,0,Quitman
"Cerebrovascular Disease",MS,2011,12,Quitman
"Cerebrovascular Disease",GA,2011,17,Rabun
"Cerebrovascular Disease",WI,2011,60,Racine
"Cerebrovascular Disease",VA,2011,4,"Radford City"
"Cerebrovascular Disease",TX,2011,4,Rains
"Cerebrovascular Disease",WV,2011,54,Raleigh
"Cerebrovascular Disease",MO,2011,3,Ralls
"Cerebrovascular Disease",MN,2011,205,Ramsey
"Cerebrovascular Disease",ND,2011,10,Ramsey
"Cerebrovascular Disease",TX,2011,39,Randall
"Cerebrovascular Disease",AL,2011,24,Randolph
"Cerebrovascular Disease",AR,2011,17,Randolph
"Cerebrovascular Disease",GA,2011,6,Randolph
"Cerebrovascular Disease",IL,2011,59,Randolph
"Cerebrovascular Disease",IN,2011,20,Randolph
"Cerebrovascular Disease",MO,2011,16,Randolph
"Cerebrovascular Disease",NC,2011,242,Randolph
"Cerebrovascular Disease",WV,2011,41,Randolph
"Cerebrovascular Disease",MS,2011,108,Rankin
"Cerebrovascular Disease",ND,2011,5,Ransom
"Cerebrovascular Disease",LA,2011,127,Rapides
"Cerebrovascular Disease",VA,2011,3,Rappahannock
"Cerebrovascular Disease",MT,2011,15,Ravalli
"Cerebrovascular Disease",KS,2011,3,Rawlins
"Cerebrovascular Disease",MO,2011,49,Ray
"Cerebrovascular Disease",TX,2011,1,Reagan
"Cerebrovascular Disease",TX,2011,2,Real
"Cerebrovascular Disease",MN,2011,1,"Red Lake"
"Cerebrovascular Disease",LA,2011,7,"Red River"
"Cerebrovascular Disease",TX,2011,8,"Red River"
"Cerebrovascular Disease",NE,2011,15,"Red Willow"
"Cerebrovascular Disease",MN,2011,6,Redwood
"Cerebrovascular Disease",TX,2011,7,Reeves
"Cerebrovascular Disease",TX,2011,9,Refugio
"Cerebrovascular Disease",KS,2011,53,Reno
"Cerebrovascular Disease",NY,2011,84,Rensselaer
"Cerebrovascular Disease",MN,2011,4,Renville
"Cerebrovascular Disease",ND,2011,2,Renville
"Cerebrovascular Disease",KS,2011,3,Republic
"Cerebrovascular Disease",MO,2011,6,Reynolds
"Cerebrovascular Disease",TN,2011,32,Rhea
"Cerebrovascular Disease",KS,2011,4,Rice
"Cerebrovascular Disease",MN,2011,63,Rice
"Cerebrovascular Disease",UT,2011,1,Rich
"Cerebrovascular Disease",NE,2011,8,Richardson
"Cerebrovascular Disease",IL,2011,10,Richland
"Cerebrovascular Disease",LA,2011,19,Richland
"Cerebrovascular Disease",MT,2011,7,Richland
"Cerebrovascular Disease",ND,2011,10,Richland
"Cerebrovascular Disease",OH,2011,118,Richland
"Cerebrovascular Disease",SC,2011,749,Richland
"Cerebrovascular Disease",WI,2011,13,Richland
"Cerebrovascular Disease",GA,2011,114,Richmond
"Cerebrovascular Disease",NC,2011,25,Richmond
"Cerebrovascular Disease",NY,2011,959,Richmond
"Cerebrovascular Disease",VA,2011,6,Richmond
"Cerebrovascular Disease",VA,2011,459,"Richmond City"
"Cerebrovascular Disease",KS,2011,51,Riley
"Cerebrovascular Disease",IA,2011,3,Ringgold
"Cerebrovascular Disease",NM,2011,28,"Rio Arriba"
"Cerebrovascular Disease",CO,2011,1,"Rio Blanco"
"Cerebrovascular Disease",CO,2011,6,"Rio Grande"
"Cerebrovascular Disease",IN,2011,19,Ripley
"Cerebrovascular Disease",MO,2011,8,Ripley
"Cerebrovascular Disease",WV,2011,6,Ritchie
"Cerebrovascular Disease",CA,2011,1143,Riverside
"Cerebrovascular Disease",TN,2011,88,Roane
"Cerebrovascular Disease",WV,2011,9,Roane
"Cerebrovascular Disease",VA,2011,124,Roanoke
"Cerebrovascular Disease",VA,2011,60,"Roanoke City"
"Cerebrovascular Disease",SD,2011,4,Roberts
"Cerebrovascular Disease",TX,2011,1,Roberts
"Cerebrovascular Disease",KY,2011,3,Robertson
"Cerebrovascular Disease",TN,2011,39,Robertson
"Cerebrovascular Disease",TX,2011,22,Robertson
"Cerebrovascular Disease",NC,2011,67,Robeson
"Cerebrovascular Disease",MN,2011,10,Rock
"Cerebrovascular Disease",NE,2011,1,Rock
"Cerebrovascular Disease",WI,2011,110,Rock
"Cerebrovascular Disease",IL,2011,101,"Rock Island"
"Cerebrovascular Disease",VA,2011,34,Rockbridge
"Cerebrovascular Disease",KY,2011,34,Rockcastle
"Cerebrovascular Disease",GA,2011,39,Rockdale
"Cerebrovascular Disease",NC,2011,193,Rockingham
"Cerebrovascular Disease",NH,2011,117,Rockingham
"Cerebrovascular Disease",VA,2011,72,Rockingham
"Cerebrovascular Disease",NY,2011,184,Rockland
"Cerebrovascular Disease",TX,2011,33,Rockwall
"Cerebrovascular Disease",OK,2011,2,"Roger Mills"
"Cerebrovascular Disease",OK,2011,59,Rogers
"Cerebrovascular Disease",ND,2011,7,Rolette
"Cerebrovascular Disease",KS,2011,6,Rooks
"Cerebrovascular Disease",MT,2011,4,Roosevelt
"Cerebrovascular Disease",NM,2011,9,Roosevelt
"Cerebrovascular Disease",MI,2011,20,Roscommon
"Cerebrovascular Disease",MN,2011,16,Roseau
"Cerebrovascular Disease",MT,2011,5,Rosebud
"Cerebrovascular Disease",OH,2011,67,Ross
"Cerebrovascular Disease",CO,2011,18,Routt
"Cerebrovascular Disease",KY,2011,26,Rowan
"Cerebrovascular Disease",NC,2011,191,Rowan
"Cerebrovascular Disease",TX,2011,10,Runnels
"Cerebrovascular Disease",IN,2011,15,Rush
"Cerebrovascular Disease",KS,2011,2,Rush
"Cerebrovascular Disease",TX,2011,28,Rusk
"Cerebrovascular Disease",WI,2011,3,Rusk
"Cerebrovascular Disease",AL,2011,96,Russell
"Cerebrovascular Disease",KS,2011,5,Russell
"Cerebrovascular Disease",KY,2011,9,Russell
"Cerebrovascular Disease",VA,2011,9,Russell
"Cerebrovascular Disease",NC,2011,33,Rutherford
"Cerebrovascular Disease",TN,2011,87,Rutherford
"Cerebrovascular Disease",VT,2011,91,Rutland
"Cerebrovascular Disease",LA,2011,16,Sabine
"Cerebrovascular Disease",TX,2011,11,Sabine
"Cerebrovascular Disease",IA,2011,8,Sac
"Cerebrovascular Disease",CA,2011,777,Sacramento
"Cerebrovascular Disease",ME,2011,15,Sagadahoc
"Cerebrovascular Disease",MI,2011,75,Saginaw
"Cerebrovascular Disease",CO,2011,9,Saguache
"Cerebrovascular Disease",NJ,2011,53,Salem
"Cerebrovascular Disease",VA,2011,28,"Salem City"
"Cerebrovascular Disease",AR,2011,33,Saline
"Cerebrovascular Disease",IL,2011,22,Saline
"Cerebrovascular Disease",KS,2011,57,Saline
"Cerebrovascular Disease",MO,2011,34,Saline
"Cerebrovascular Disease",NE,2011,11,Saline
"Cerebrovascular Disease",UT,2011,445,"Salt Lake"
"Cerebrovascular Disease",SC,2011,13,Saluda
"Cerebrovascular Disease",NC,2011,64,Sampson
"Cerebrovascular Disease",TX,2011,4,"San Augustine"
"Cerebrovascular Disease",CA,2011,33,"San Benito"
"Cerebrovascular Disease",CA,2011,846,"San Bernardino"
"Cerebrovascular Disease",CA,2011,933,"San Diego"
"Cerebrovascular Disease",CA,2011,381,"San Francisco"
"Cerebrovascular Disease",TX,2011,24,"San Jacinto"
"Cerebrovascular Disease",CA,2011,249,"San Joaquin"
"Cerebrovascular Disease",CO,2011,1,"San Juan"
"Cerebrovascular Disease",NM,2011,98,"San Juan"
"Cerebrovascular Disease",UT,2011,7,"San Juan"
"Cerebrovascular Disease",WA,2011,5,"San Juan"
"Cerebrovascular Disease",CA,2011,380,"San Luis Obispo"
"Cerebrovascular Disease",CA,2011,936,"San Mateo"
"Cerebrovascular Disease",CO,2011,7,"San Miguel"
"Cerebrovascular Disease",NM,2011,26,"San Miguel"
"Cerebrovascular Disease",TX,2011,28,"San Patricio"
"Cerebrovascular Disease",TX,2011,2,"San Saba"
"Cerebrovascular Disease",SD,2011,0,Sanborn
"Cerebrovascular Disease",MT,2011,8,Sanders
"Cerebrovascular Disease",NM,2011,47,Sandoval
"Cerebrovascular Disease",OH,2011,85,Sandusky
"Cerebrovascular Disease",IL,2011,222,Sangamon
"Cerebrovascular Disease",MI,2011,38,Sanilac
"Cerebrovascular Disease",UT,2011,15,Sanpete
"Cerebrovascular Disease",CA,2011,120,"Santa Barbara"
"Cerebrovascular Disease",CA,2011,402,"Santa Clara"
"Cerebrovascular Disease",AZ,2011,18,"Santa Cruz"
"Cerebrovascular Disease",CA,2011,212,"Santa Cruz"
"Cerebrovascular Disease",NM,2011,129,"Santa Fe"
"Cerebrovascular Disease",FL,2011,225,"Santa Rosa"
"Cerebrovascular Disease",FL,2011,300,Sarasota
"Cerebrovascular Disease",NY,2011,45,Saratoga
"Cerebrovascular Disease",ND,2011,4,Sargent
"Cerebrovascular Disease",NE,2011,127,Sarpy
"Cerebrovascular Disease",WI,2011,23,Sauk
"Cerebrovascular Disease",NE,2011,18,Saunders
"Cerebrovascular Disease",WI,2011,23,Sawyer
"Cerebrovascular Disease",NY,2011,109,Schenectady
"Cerebrovascular Disease",TX,2011,0,Schleicher
"Cerebrovascular Disease",GA,2011,1,Schley
"Cerebrovascular Disease",NY,2011,29,Schoharie
"Cerebrovascular Disease",MI,2011,10,Schoolcraft
"Cerebrovascular Disease",IL,2011,10,Schuyler
"Cerebrovascular Disease",MO,2011,6,Schuyler
"Cerebrovascular Disease",NY,2011,9,Schuyler
"Cerebrovascular Disease",PA,2011,107,Schuylkill
"Cerebrovascular Disease",OH,2011,73,Scioto
"Cerebrovascular Disease",MO,2011,3,Scotland
"Cerebrovascular Disease",NC,2011,37,Scotland
"Cerebrovascular Disease",AR,2011,7,Scott
"Cerebrovascular Disease",IA,2011,159,Scott
"Cerebrovascular Disease",IL,2011,1,Scott
"Cerebrovascular Disease",IN,2011,15,Scott
"Cerebrovascular Disease",KS,2011,4,Scott
"Cerebrovascular Disease",KY,2011,25,Scott
"Cerebrovascular Disease",MN,2011,132,Scott
"Cerebrovascular Disease",MO,2011,38,Scott
"Cerebrovascular Disease",MS,2011,14,Scott
"Cerebrovascular Disease",TN,2011,18,Scott
"Cerebrovascular Disease",VA,2011,16,Scott
"Cerebrovascular Disease",NE,2011,29,"Scotts Bluff"
"Cerebrovascular Disease",GA,2011,9,Screven
"Cerebrovascular Disease",TX,2011,9,Scurry
"Cerebrovascular Disease",AR,2011,5,Searcy
"Cerebrovascular Disease",AR,2011,69,Sebastian
"Cerebrovascular Disease",CO,2011,1,Sedgwick
"Cerebrovascular Disease",KS,2011,265,Sedgwick
"Cerebrovascular Disease",FL,2011,615,Seminole
"Cerebrovascular Disease",GA,2011,4,Seminole
"Cerebrovascular Disease",OK,2011,28,Seminole
"Cerebrovascular Disease",NY,2011,29,Seneca
"Cerebrovascular Disease",OH,2011,18,Seneca
"Cerebrovascular Disease",TN,2011,10,Sequatchie
"Cerebrovascular Disease",OK,2011,69,Sequoyah
"Cerebrovascular Disease",AR,2011,13,Sevier
"Cerebrovascular Disease",TN,2011,32,Sevier
"Cerebrovascular Disease",UT,2011,10,Sevier
"Cerebrovascular Disease",KS,2011,9,Seward
"Cerebrovascular Disease",NE,2011,8,Seward
"Cerebrovascular Disease",TX,2011,4,Shackelford
"Cerebrovascular Disease",MO,2011,5,Shannon
"Cerebrovascular Disease",SD,2011,3,Shannon
"Cerebrovascular Disease",MS,2011,3,Sharkey
"Cerebrovascular Disease",AR,2011,10,Sharp
"Cerebrovascular Disease",CA,2011,98,Shasta
"Cerebrovascular Disease",WI,2011,42,Shawano
"Cerebrovascular Disease",KS,2011,133,Shawnee
"Cerebrovascular Disease",WI,2011,155,Sheboygan
"Cerebrovascular Disease",AL,2011,110,Shelby
"Cerebrovascular Disease",IA,2011,18,Shelby
"Cerebrovascular Disease",IL,2011,36,Shelby
"Cerebrovascular Disease",IN,2011,43,Shelby
"Cerebrovascular Disease",KY,2011,27,Shelby
"Cerebrovascular Disease",MO,2011,7,Shelby
"Cerebrovascular Disease",OH,2011,49,Shelby
"Cerebrovascular Disease",TN,2011,654,Shelby
"Cerebrovascular Disease",TX,2011,27,Shelby
"Cerebrovascular Disease",VA,2011,20,Shenandoah
"Cerebrovascular Disease",MN,2011,80,Sherburne
"Cerebrovascular Disease",KS,2011,0,Sheridan
"Cerebrovascular Disease",MT,2011,2,Sheridan
"Cerebrovascular Disease",ND,2011,0,Sheridan
"Cerebrovascular Disease",NE,2011,7,Sheridan
"Cerebrovascular Disease",WY,2011,22,Sheridan
"Cerebrovascular Disease",KS,2011,4,Sherman
"Cerebrovascular Disease",NE,2011,1,Sherman
"Cerebrovascular Disease",OR,2011,1,Sherman
"Cerebrovascular Disease",TX,2011,2,Sherman
"Cerebrovascular Disease",MI,2011,66,Shiawassee
"Cerebrovascular Disease",ID,2011,2,Shoshone
"Cerebrovascular Disease",MN,2011,12,Sibley
"Cerebrovascular Disease",CA,2011,3,Sierra
"Cerebrovascular Disease",NM,2011,9,Sierra
"Cerebrovascular Disease",MT,2011,34,"Silver Bow"
"Cerebrovascular Disease",KY,2011,9,Simpson
"Cerebrovascular Disease",MS,2011,24,Simpson
"Cerebrovascular Disease",IA,2011,10,Sioux
"Cerebrovascular Disease",ND,2011,1,Sioux
"Cerebrovascular Disease",NE,2011,1,Sioux
"Cerebrovascular Disease",CA,2011,79,Siskiyou
"Cerebrovascular Disease",AK,2011,8,Sitka
"Cerebrovascular Disease",WA,2011,57,Skagit
"Cerebrovascular Disease",AK,2011,0,Skagway-Hoonah-Angoon
"Cerebrovascular Disease",WA,2011,4,Skamania
"Cerebrovascular Disease",ND,2011,0,Slope
"Cerebrovascular Disease",KS,2011,1,Smith
"Cerebrovascular Disease",MS,2011,6,Smith
"Cerebrovascular Disease",TN,2011,16,Smith
"Cerebrovascular Disease",TX,2011,96,Smith
"Cerebrovascular Disease",VA,2011,65,Smyth
"Cerebrovascular Disease",WA,2011,657,Snohomish
"Cerebrovascular Disease",PA,2011,46,Snyder
"Cerebrovascular Disease",NM,2011,25,Socorro
"Cerebrovascular Disease",CA,2011,620,Solano
"Cerebrovascular Disease",MD,2011,13,Somerset
"Cerebrovascular Disease",ME,2011,95,Somerset
"Cerebrovascular Disease",NJ,2011,288,Somerset
"Cerebrovascular Disease",PA,2011,134,Somerset
"Cerebrovascular Disease",TX,2011,6,Somervell
"Cerebrovascular Disease",CA,2011,497,Sonoma
"Cerebrovascular Disease",VA,2011,33,Southampton
"Cerebrovascular Disease",AK,2011,1,"Southeast Fairbanks"
"Cerebrovascular Disease",GA,2011,40,Spalding
"Cerebrovascular Disease",SC,2011,348,Spartanburg
"Cerebrovascular Disease",IN,2011,31,Spencer
"Cerebrovascular Disease",KY,2011,4,Spencer
"Cerebrovascular Disease",SD,2011,2,Spink
"Cerebrovascular Disease",WA,2011,367,Spokane
"Cerebrovascular Disease",VA,2011,44,Spotsylvania
"Cerebrovascular Disease",LA,2011,11,"St. Bernard"
"Cerebrovascular Disease",LA,2011,59,"St. Charles"
"Cerebrovascular Disease",MO,2011,123,"St. Charles"
"Cerebrovascular Disease",AL,2011,88,"St. Clair"
"Cerebrovascular Disease",IL,2011,170,"St. Clair"
"Cerebrovascular Disease",MI,2011,213,"St. Clair"
"Cerebrovascular Disease",MO,2011,13,"St. Clair"
"Cerebrovascular Disease",WI,2011,32,"St. Croix"
"Cerebrovascular Disease",AR,2011,44,"St. Francis"
"Cerebrovascular Disease",MO,2011,73,"St. Francois"
"Cerebrovascular Disease",LA,2011,4,"St. Helena"
"Cerebrovascular Disease",LA,2011,15,"St. James"
"Cerebrovascular Disease",LA,2011,32,"St. John the Baptist"
"Cerebrovascular Disease",FL,2011,85,"St. Johns"
"Cerebrovascular Disease",IN,2011,220,"St. Joseph"
"Cerebrovascular Disease",MI,2011,56,"St. Joseph"
"Cerebrovascular Disease",LA,2011,51,"St. Landry"
"Cerebrovascular Disease",NY,2011,93,"St. Lawrence"
"Cerebrovascular Disease",MN,2011,158,"St. Louis"
"Cerebrovascular Disease",MO,2011,1567,"St. Louis"
"Cerebrovascular Disease",MO,2011,462,"St. Louis City"
"Cerebrovascular Disease",FL,2011,262,"St. Lucie"
"Cerebrovascular Disease",LA,2011,99,"St. Martin"
"Cerebrovascular Disease",LA,2011,45,"St. Mary"
"Cerebrovascular Disease",MD,2011,46,"St. Mary's"
"Cerebrovascular Disease",LA,2011,313,"St. Tammany"
"Cerebrovascular Disease",KS,2011,5,Stafford
"Cerebrovascular Disease",VA,2011,193,Stafford
"Cerebrovascular Disease",CA,2011,297,Stanislaus
"Cerebrovascular Disease",SD,2011,0,Stanley
"Cerebrovascular Disease",NC,2011,17,Stanly
"Cerebrovascular Disease",KS,2011,0,Stanton
"Cerebrovascular Disease",NE,2011,3,Stanton
"Cerebrovascular Disease",IL,2011,3,Stark
"Cerebrovascular Disease",ND,2011,29,Stark
"Cerebrovascular Disease",OH,2011,334,Stark
"Cerebrovascular Disease",IN,2011,25,Starke
"Cerebrovascular Disease",TX,2011,25,Starr
"Cerebrovascular Disease",VA,2011,7,"Staunton City"
"Cerebrovascular Disease",MO,2011,25,"Ste. Genevieve"
"Cerebrovascular Disease",MN,2011,103,Stearns
"Cerebrovascular Disease",MN,2011,11,Steele
"Cerebrovascular Disease",ND,2011,2,Steele
"Cerebrovascular Disease",GA,2011,29,Stephens
"Cerebrovascular Disease",OK,2011,30,Stephens
"Cerebrovascular Disease",TX,2011,12,Stephens
"Cerebrovascular Disease",IL,2011,47,Stephenson
"Cerebrovascular Disease",TX,2011,1,Sterling
"Cerebrovascular Disease",IN,2011,39,Steuben
"Cerebrovascular Disease",NY,2011,197,Steuben
"Cerebrovascular Disease",KS,2011,2,Stevens
"Cerebrovascular Disease",MN,2011,9,Stevens
"Cerebrovascular Disease",WA,2011,11,Stevens
"Cerebrovascular Disease",GA,2011,2,Stewart
"Cerebrovascular Disease",TN,2011,23,Stewart
"Cerebrovascular Disease",MT,2011,10,Stillwater
"Cerebrovascular Disease",MO,2011,11,Stoddard
"Cerebrovascular Disease",NC,2011,58,Stokes
"Cerebrovascular Disease",AR,2011,11,Stone
"Cerebrovascular Disease",MO,2011,48,Stone
"Cerebrovascular Disease",MS,2011,5,Stone
"Cerebrovascular Disease",TX,2011,1,Stonewall
"Cerebrovascular Disease",NV,2011,3,Storey
"Cerebrovascular Disease",IA,2011,48,Story
"Cerebrovascular Disease",NH,2011,204,Strafford
"Cerebrovascular Disease",ND,2011,13,Stutsman
"Cerebrovascular Disease",WY,2011,1,Sublette
"Cerebrovascular Disease",MA,2011,966,Suffolk
"Cerebrovascular Disease",NY,2011,1455,Suffolk
"Cerebrovascular Disease",VA,2011,122,"Suffolk City"
"Cerebrovascular Disease",IN,2011,16,Sullivan
"Cerebrovascular Disease",MO,2011,2,Sullivan
"Cerebrovascular Disease",NH,2011,24,Sullivan
"Cerebrovascular Disease",NY,2011,78,Sullivan
"Cerebrovascular Disease",PA,2011,6,Sullivan
"Cerebrovascular Disease",TN,2011,244,Sullivan
"Cerebrovascular Disease",SD,2011,1,Sully
"Cerebrovascular Disease",WV,2011,27,Summers
"Cerebrovascular Disease",CO,2011,10,Summit
"Cerebrovascular Disease",OH,2011,510,Summit
"Cerebrovascular Disease",UT,2011,14,Summit
"Cerebrovascular Disease",KS,2011,15,Sumner
"Cerebrovascular Disease",TN,2011,136,Sumner
"Cerebrovascular Disease",AL,2011,7,Sumter
"Cerebrovascular Disease",FL,2011,40,Sumter
"Cerebrovascular Disease",GA,2011,21,Sumter
"Cerebrovascular Disease",SC,2011,56,Sumter
"Cerebrovascular Disease",MS,2011,27,Sunflower
"Cerebrovascular Disease",NC,2011,71,Surry
"Cerebrovascular Disease",VA,2011,6,Surry
"Cerebrovascular Disease",PA,2011,58,Susquehanna
