@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R3,5_clustered'

@attribute Instance_number numeric
@attribute disease_name {'Cerebrovascular Disease',Cholera,'Chronic lower respiratory diseases','Diabetes mellitus','Diarrheal Diseases',HIV/AIDS,'Influenza and pneumonia',Malaria,'Malignant tumours',Tuberculosis}
@attribute state {SC,LA,VA,ID,IA,KY,MO,OK,CO,IL,IN,MS,ND,NE,OH,PA,WA,WI,VT,MN,FL,NC,CA,NY,WY,MI,AK,MD,KS,TN,TX,ME,AZ,GA,AR,NJ,SD,AL,OR,WV,MA,UT,MT,NH,NM,RI,NV,DC,CT,HI,DE}
@attribute no_of_death numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
6691,Cholera,MT,1,cluster9
6692,Malaria,ID,3,cluster7
6693,'Influenza and pneumonia',NE,68,cluster8
6694,Tuberculosis,TN,41,cluster6
6695,Malaria,LA,156,cluster7
6696,HIV/AIDS,MO,10,cluster0
6697,HIV/AIDS,TX,37,cluster0
6698,'Malignant tumours',TX,5,cluster2
6699,'Chronic lower respiratory diseases',NV,1,cluster5
6700,Malaria,SC,19,cluster7
6701,HIV/AIDS,GA,8,cluster0
6702,Tuberculosis,MS,57,cluster6
6703,'Diarrheal Diseases',LA,508,cluster1
6704,Tuberculosis,TX,1,cluster6
6705,HIV/AIDS,ME,12,cluster0
6706,Malaria,MO,9,cluster7
6707,'Chronic lower respiratory diseases',MT,12,cluster5
6708,HIV/AIDS,WV,48,cluster0
6709,'Cerebrovascular Disease',ID,17,cluster3
6710,'Chronic lower respiratory diseases',PA,7,cluster5
6711,Cholera,AL,102,cluster9
6712,'Malignant tumours',IA,9,cluster2
6713,'Diabetes mellitus',AL,17,cluster4
6714,Cholera,ND,2,cluster9
6715,'Influenza and pneumonia',IA,3,cluster8
6716,'Chronic lower respiratory diseases',SD,6,cluster5
6717,'Diabetes mellitus',ID,2,cluster4
6718,HIV/AIDS,WV,45,cluster0
6719,'Diarrheal Diseases',MT,1,cluster1
6720,'Cerebrovascular Disease',IN,7,cluster3
6721,'Diarrheal Diseases',NE,46,cluster1
6722,'Cerebrovascular Disease',OH,29,cluster3
6723,HIV/AIDS,MT,8,cluster0
6724,HIV/AIDS,FL,1248,cluster0
6725,'Influenza and pneumonia',LA,55,cluster8
6726,'Chronic lower respiratory diseases',AR,13,cluster5
6727,Malaria,PA,49,cluster7
6728,'Malignant tumours',ID,215,cluster2
6729,'Diarrheal Diseases',OH,28,cluster1
6730,'Diarrheal Diseases',NE,3,cluster1
6731,'Diabetes mellitus',AL,31,cluster4
6732,'Influenza and pneumonia',GA,6,cluster8
6733,HIV/AIDS,WV,8,cluster0
6734,'Influenza and pneumonia',NE,8,cluster8
6735,HIV/AIDS,CA,19,cluster0
6736,'Malignant tumours',WV,36,cluster2
6737,Cholera,IN,21,cluster9
6738,HIV/AIDS,MI,46,cluster0
6739,'Chronic lower respiratory diseases',WV,12,cluster5
6740,HIV/AIDS,MO,118,cluster0
6741,HIV/AIDS,IA,40,cluster0
6742,'Diabetes mellitus',IN,27,cluster4
6743,Tuberculosis,TX,6,cluster6
6744,'Cerebrovascular Disease',KS,3,cluster3
6745,'Influenza and pneumonia',LA,5,cluster8
6746,'Chronic lower respiratory diseases',MO,5,cluster5
6747,Malaria,ND,1,cluster7
6748,'Diarrheal Diseases',SD,31,cluster1
6749,Tuberculosis,WI,56,cluster6
6750,HIV/AIDS,IN,51,cluster0
6751,'Diarrheal Diseases',NY,194,cluster1
6752,'Cerebrovascular Disease',OK,24,cluster3
6753,'Diabetes mellitus',IL,11,cluster4
6754,'Chronic lower respiratory diseases',NY,25,cluster5
6755,Cholera,KS,3,cluster9
6756,HIV/AIDS,AL,19,cluster0
6757,'Cerebrovascular Disease',WY,2,cluster3
6758,'Influenza and pneumonia',IL,16,cluster8
6759,'Diabetes mellitus',GA,43,cluster4
6760,HIV/AIDS,MN,1,cluster0
6761,'Diarrheal Diseases',NE,1,cluster1
6762,'Influenza and pneumonia',WA,96,cluster8
6763,'Cerebrovascular Disease',IL,10,cluster3
6764,'Chronic lower respiratory diseases',MN,18,cluster5
6765,Tuberculosis,NY,187,cluster6
6766,Tuberculosis,KY,31,cluster6
6767,Tuberculosis,WA,16,cluster6
6768,Tuberculosis,MI,8,cluster6
6769,'Malignant tumours',VA,62,cluster2
6770,'Diarrheal Diseases',VA,93,cluster1
6771,'Malignant tumours',KS,115,cluster2
6772,'Cerebrovascular Disease',TX,14,cluster3
6773,Malaria,NY,1501,cluster7
6774,'Chronic lower respiratory diseases',NE,8,cluster5
6775,Malaria,AR,44,cluster7
6776,'Chronic lower respiratory diseases',KS,1,cluster5
6777,'Cerebrovascular Disease',KS,4,cluster3
6778,Cholera,WI,43,cluster9
6779,'Influenza and pneumonia',KY,8,cluster8
6780,'Diarrheal Diseases',NV,262,cluster1
6781,'Influenza and pneumonia',IL,9,cluster8
6782,'Diabetes mellitus',HI,38,cluster4
6783,'Diarrheal Diseases',MO,20,cluster1
6784,'Diabetes mellitus',AZ,111,cluster4
6785,'Diabetes mellitus',AK,2,cluster4
6786,'Malignant tumours',TX,60,cluster2
6787,Cholera,OH,48,cluster9
6788,'Diabetes mellitus',VA,10,cluster4
6789,'Malignant tumours',IN,78,cluster2
6790,Tuberculosis,MN,4,cluster6
6791,'Influenza and pneumonia',AR,13,cluster8
6792,'Cerebrovascular Disease',VA,60,cluster3
6793,'Diabetes mellitus',KY,21,cluster4
6794,'Chronic lower respiratory diseases',ME,27,cluster5
6795,'Chronic lower respiratory diseases',CA,14,cluster5
6796,'Malignant tumours',OH,23,cluster2
6797,HIV/AIDS,NE,7,cluster0
6798,'Chronic lower respiratory diseases',FL,56,cluster5
6799,Cholera,OH,9,cluster9
6800,'Diabetes mellitus',AR,111,cluster4
6801,Tuberculosis,MI,40,cluster6
6802,Tuberculosis,ND,1,cluster6
6803,Malaria,MS,38,cluster7
6804,Malaria,KS,21,cluster7
6805,'Malignant tumours',TN,5,cluster2
6806,Cholera,AR,26,cluster9
6807,Cholera,TX,5,cluster9
6808,Tuberculosis,VA,265,cluster6
6809,'Diabetes mellitus',IN,6,cluster4
6810,'Diarrheal Diseases',OH,58,cluster1
6811,HIV/AIDS,TX,587,cluster0
6812,Cholera,WV,11,cluster9
6813,'Malignant tumours',IL,25,cluster2
6814,HIV/AIDS,SD,2,cluster0
6815,Malaria,NC,6,cluster7
6816,HIV/AIDS,IL,0,cluster0
6817,Cholera,NH,395,cluster9
6818,'Diabetes mellitus',NC,84,cluster4
6819,'Influenza and pneumonia',CO,11,cluster8
6820,'Diarrheal Diseases',IA,8,cluster1
6821,HIV/AIDS,UT,27,cluster0
6822,'Diarrheal Diseases',GA,20,cluster1
6823,'Diabetes mellitus',NC,67,cluster4
6824,HIV/AIDS,VA,32,cluster0
6825,Malaria,NE,1,cluster7
6826,'Diarrheal Diseases',VA,1,cluster1
6827,'Diarrheal Diseases',NC,59,cluster1
6828,Cholera,MI,6,cluster9
6829,Cholera,MT,12,cluster9
6830,'Influenza and pneumonia',GA,17,cluster8
6831,'Influenza and pneumonia',OR,6,cluster8
6832,'Malignant tumours',MO,20,cluster2
6833,HIV/AIDS,OH,136,cluster0
6834,'Malignant tumours',VA,16,cluster2
6835,HIV/AIDS,GA,15,cluster0
6836,'Diabetes mellitus',MN,507,cluster4
6837,Cholera,TX,13,cluster9
6838,'Diarrheal Diseases',FL,347,cluster1
6839,Cholera,IN,79,cluster9
6840,Cholera,OH,18,cluster9
6841,'Diabetes mellitus',TX,12,cluster4
6842,'Malignant tumours',NE,3,cluster2
6843,'Malignant tumours',IA,12,cluster2
6844,'Influenza and pneumonia',OH,49,cluster8
6845,'Diarrheal Diseases',ID,8,cluster1
6846,'Cerebrovascular Disease',TX,1,cluster3
6847,Tuberculosis,MN,4,cluster6
6848,'Chronic lower respiratory diseases',LA,23,cluster5
6849,'Chronic lower respiratory diseases',MO,7,cluster5
6850,Tuberculosis,OH,315,cluster6
6851,Cholera,NM,1,cluster9
6852,Malaria,MO,466,cluster7
6853,HIV/AIDS,ND,14,cluster0
6854,'Diabetes mellitus',AL,20,cluster4
6855,Malaria,OH,20,cluster7
6856,'Malignant tumours',OK,42,cluster2
6857,'Diabetes mellitus',KS,4,cluster4
6858,'Malignant tumours',NE,3,cluster2
6859,'Diarrheal Diseases',MN,2,cluster1
6860,Malaria,RI,43,cluster7
6861,'Influenza and pneumonia',AR,364,cluster8
6862,Malaria,IL,7,cluster7
6863,'Malignant tumours',PA,10,cluster2
6864,HIV/AIDS,WA,176,cluster0
6865,HIV/AIDS,IL,53,cluster0
6866,Malaria,MO,111,cluster7
6867,'Diarrheal Diseases',NE,0,cluster1
6868,'Diabetes mellitus',OR,12,cluster4
6869,'Diarrheal Diseases',MS,96,cluster1
6870,'Diabetes mellitus',MI,18,cluster4
6871,'Malignant tumours',IL,19,cluster2
6872,Tuberculosis,MN,48,cluster6
6873,Tuberculosis,KY,11,cluster6
6874,'Influenza and pneumonia',MS,5,cluster8
6875,'Diabetes mellitus',MO,488,cluster4
6876,HIV/AIDS,PA,56,cluster0
6877,'Cerebrovascular Disease',NY,191,cluster3
6878,'Malignant tumours',TN,4,cluster2
6879,'Influenza and pneumonia',IA,29,cluster8
6880,Malaria,IN,879,cluster7
6881,'Chronic lower respiratory diseases',NE,2,cluster5
6882,'Chronic lower respiratory diseases',NC,38,cluster5
6883,Malaria,IL,3,cluster7
6884,Cholera,GA,3,cluster9
6885,'Diabetes mellitus',NM,47,cluster4
6886,'Chronic lower respiratory diseases',ME,35,cluster5
6887,HIV/AIDS,TX,2,cluster0
6888,Cholera,PA,67,cluster9
6889,HIV/AIDS,DE,550,cluster0
6890,Tuberculosis,AL,32,cluster6
6891,'Influenza and pneumonia',MS,7,cluster8
6892,HIV/AIDS,PA,256,cluster0
6893,'Diabetes mellitus',TX,47,cluster4
6894,Malaria,MI,86,cluster7
6895,'Chronic lower respiratory diseases',MA,919,cluster5
6896,'Malignant tumours',WV,38,cluster2
6897,'Diarrheal Diseases',LA,308,cluster1
6898,Cholera,IN,197,cluster9
6899,'Diabetes mellitus',MS,4,cluster4
6900,'Malignant tumours',MO,26,cluster2
6901,'Malignant tumours',MI,32,cluster2
6902,HIV/AIDS,KS,30,cluster0
6903,'Influenza and pneumonia',WY,124,cluster8
6904,Cholera,SC,5,cluster9
6905,Cholera,WV,6,cluster9
6906,Cholera,GA,6,cluster9
6907,Cholera,VA,5,cluster9
6908,Tuberculosis,GA,21,cluster6
6909,Tuberculosis,KS,1,cluster6
6910,HIV/AIDS,AL,213,cluster0
6911,'Diarrheal Diseases',NY,55,cluster1
6912,'Diarrheal Diseases',MO,55,cluster1
6913,Cholera,WA,72,cluster9
6914,'Diarrheal Diseases',FL,100,cluster1
6915,'Diarrheal Diseases',TX,3368,cluster1
6916,'Diabetes mellitus',IA,12,cluster4
6917,Tuberculosis,NJ,678,cluster6
6918,'Malignant tumours',IL,4,cluster2
6919,HIV/AIDS,FL,424,cluster0
6920,'Cerebrovascular Disease',CA,754,cluster3
6921,'Diarrheal Diseases',IN,176,cluster1
6922,'Cerebrovascular Disease',MS,24,cluster3
6923,'Diabetes mellitus',FL,265,cluster4
6924,'Cerebrovascular Disease',VA,10,cluster3
6925,'Malignant tumours',MO,58,cluster2
6926,HIV/AIDS,CO,24,cluster0
6927,'Influenza and pneumonia',SD,5,cluster8
6928,HIV/AIDS,ND,0,cluster0
6929,Tuberculosis,CO,7,cluster6
6930,Tuberculosis,ND,0,cluster6
6931,'Chronic lower respiratory diseases',IN,15,cluster5
6932,'Influenza and pneumonia',PA,34,cluster8
6933,Tuberculosis,IN,64,cluster6
6934,'Chronic lower respiratory diseases',OK,1493,cluster5
6935,HIV/AIDS,PA,169,cluster0
6936,Tuberculosis,IL,34,cluster6
6937,'Influenza and pneumonia',MS,21,cluster8
6938,'Influenza and pneumonia',CO,162,cluster8
6939,HIV/AIDS,ID,7,cluster0
6940,Tuberculosis,NC,49,cluster6
6941,'Diabetes mellitus',AL,16,cluster4
6942,HIV/AIDS,UT,4,cluster0
6943,'Cerebrovascular Disease',WI,24,cluster3
6944,'Diabetes mellitus',OR,24,cluster4
6945,'Cerebrovascular Disease',TX,2,cluster3
6946,'Malignant tumours',SD,29,cluster2
6947,'Cerebrovascular Disease',CA,31,cluster3
6948,HIV/AIDS,KY,25,cluster0
6949,'Diabetes mellitus',VA,9,cluster4
6950,'Influenza and pneumonia',CO,6,cluster8
6951,'Chronic lower respiratory diseases',TN,45,cluster5
6952,'Cerebrovascular Disease',FL,47,cluster3
6953,'Malignant tumours',GA,9,cluster2
6954,'Diarrheal Diseases',GA,5,cluster1
6955,'Chronic lower respiratory diseases',NE,6,cluster5
6956,'Chronic lower respiratory diseases',SC,7,cluster5
6957,'Diarrheal Diseases',GA,33,cluster1
6958,'Chronic lower respiratory diseases',LA,16,cluster5
6959,Malaria,MO,10,cluster7
6960,HIV/AIDS,KS,2,cluster0
6961,'Chronic lower respiratory diseases',VA,25,cluster5
6962,HIV/AIDS,IL,705,cluster0
6963,'Chronic lower respiratory diseases',GA,171,cluster5
6964,'Influenza and pneumonia',PA,28,cluster8
6965,Malaria,IA,9,cluster7
6966,'Diarrheal Diseases',WI,4,cluster1
6967,Cholera,FL,1157,cluster9
6968,Tuberculosis,MI,1,cluster6
6969,'Influenza and pneumonia',IA,16,cluster8
6970,'Diabetes mellitus',KY,9,cluster4
6971,Malaria,KY,8,cluster7
6972,Tuberculosis,KY,12,cluster6
6973,'Malignant tumours',OK,8,cluster2
6974,'Chronic lower respiratory diseases',VA,54,cluster5
6975,'Cerebrovascular Disease',MO,186,cluster3
6976,'Chronic lower respiratory diseases',AL,262,cluster5
6977,'Diabetes mellitus',IA,66,cluster4
6978,'Malignant tumours',AR,5,cluster2
6979,Malaria,NE,27,cluster7
6980,'Influenza and pneumonia',KS,12,cluster8
6981,'Chronic lower respiratory diseases',OK,2,cluster5
6982,HIV/AIDS,KS,5,cluster0
6983,'Diarrheal Diseases',AL,64,cluster1
6984,HIV/AIDS,MT,3,cluster0
6985,Cholera,TX,62,cluster9
6986,'Diarrheal Diseases',SD,1,cluster1
6987,'Influenza and pneumonia',OR,29,cluster8
6988,HIV/AIDS,MN,18,cluster0
6989,'Diarrheal Diseases',MS,4,cluster1
6990,Cholera,AL,9,cluster9
6991,'Diabetes mellitus',PA,2226,cluster4
6992,'Cerebrovascular Disease',KY,12,cluster3
6993,Tuberculosis,MS,38,cluster6
6994,'Diarrheal Diseases',KS,63,cluster1
6995,HIV/AIDS,WV,127,cluster0
6996,'Chronic lower respiratory diseases',KY,8,cluster5
6997,Cholera,AL,13,cluster9
6998,'Influenza and pneumonia',TX,10,cluster8
6999,HIV/AIDS,MO,34,cluster0
7000,Tuberculosis,GA,35,cluster6
7001,HIV/AIDS,SC,19,cluster0
7002,'Malignant tumours',MT,6,cluster2
7003,'Influenza and pneumonia',KY,7,cluster8
7004,'Cerebrovascular Disease',IL,6,cluster3
7005,'Diarrheal Diseases',FL,18,cluster1
7006,'Chronic lower respiratory diseases',OR,210,cluster5
7007,Tuberculosis,KS,5,cluster6
7008,'Chronic lower respiratory diseases',MO,6,cluster5
7009,Tuberculosis,VA,67,cluster6
7010,'Diarrheal Diseases',SC,75,cluster1
7011,'Cerebrovascular Disease',CA,53,cluster3
7012,'Diabetes mellitus',UT,422,cluster4
7013,'Diarrheal Diseases',TN,27,cluster1
7014,HIV/AIDS,TX,29,cluster0
7015,'Diabetes mellitus',NC,6,cluster4
7016,'Diabetes mellitus',VA,26,cluster4
7017,'Diabetes mellitus',KS,6,cluster4
7018,'Diarrheal Diseases',PA,55,cluster1
7019,'Diabetes mellitus',KY,607,cluster4
7020,Tuberculosis,KY,19,cluster6
7021,Malaria,NE,13,cluster7
7022,'Cerebrovascular Disease',MS,5,cluster3
7023,HIV/AIDS,IA,5,cluster0
7024,'Influenza and pneumonia',IL,20,cluster8
7025,'Diabetes mellitus',VA,16,cluster4
7026,'Malignant tumours',GA,48,cluster2
7027,Cholera,GA,149,cluster9
7028,'Diabetes mellitus',NM,0,cluster4
7029,Malaria,OK,13,cluster7
7030,Cholera,NY,13,cluster9
7031,Cholera,TX,2,cluster9
7032,HIV/AIDS,MT,3,cluster0
7033,'Influenza and pneumonia',NV,6,cluster8
7034,Malaria,PA,660,cluster7
7035,'Malignant tumours',IL,15,cluster2
7036,'Diarrheal Diseases',WY,3,cluster1
7037,'Cerebrovascular Disease',MO,13,cluster3
7038,'Influenza and pneumonia',GA,14,cluster8
7039,'Chronic lower respiratory diseases',NC,66,cluster5
7040,'Chronic lower respiratory diseases',TN,55,cluster5
7041,Cholera,MO,27,cluster9
7042,'Cerebrovascular Disease',CA,24,cluster3
7043,Cholera,AL,10,cluster9
7044,'Cerebrovascular Disease',TX,7,cluster3
7045,Tuberculosis,UT,6,cluster6
7046,'Chronic lower respiratory diseases',TN,75,cluster5
7047,'Diarrheal Diseases',TX,2008,cluster1
7048,'Diabetes mellitus',UT,38,cluster4
7049,'Influenza and pneumonia',ID,12,cluster8
7050,'Influenza and pneumonia',SD,1,cluster8
7051,'Diabetes mellitus',GA,31,cluster4
7052,Malaria,TX,7,cluster7
7053,Tuberculosis,PA,62,cluster6
7054,'Malignant tumours',MT,7,cluster2
7055,Malaria,KY,231,cluster7
7056,'Malignant tumours',PA,54,cluster2
7057,'Influenza and pneumonia',AZ,117,cluster8
7058,'Diarrheal Diseases',TX,40,cluster1
7059,'Diarrheal Diseases',NJ,179,cluster1
7060,'Malignant tumours',NV,32,cluster2
7061,Cholera,NM,14,cluster9
7062,'Cerebrovascular Disease',MI,98,cluster3
7063,'Diabetes mellitus',SD,1,cluster4
7064,Malaria,WV,18,cluster7
7065,'Diarrheal Diseases',CO,1,cluster1
7066,Malaria,TX,36,cluster7
7067,'Influenza and pneumonia',NE,1,cluster8
7068,'Influenza and pneumonia',MI,7,cluster8
7069,'Chronic lower respiratory diseases',MN,52,cluster5
7070,'Cerebrovascular Disease',AR,2,cluster3
7071,HIV/AIDS,FL,241,cluster0
7072,'Malignant tumours',ND,1,cluster2
7073,'Diarrheal Diseases',SC,121,cluster1
7074,'Malignant tumours',ND,27,cluster2
7075,Tuberculosis,VA,7,cluster6
7076,'Chronic lower respiratory diseases',MN,7,cluster5
7077,Malaria,MI,80,cluster7
7078,'Influenza and pneumonia',VA,19,cluster8
7079,'Chronic lower respiratory diseases',MI,36,cluster5
7080,'Chronic lower respiratory diseases',LA,7,cluster5
7081,'Malignant tumours',AL,54,cluster2
7082,'Influenza and pneumonia',UT,8,cluster8
7083,HIV/AIDS,OH,62,cluster0
7084,HIV/AIDS,WI,43,cluster0
7085,Cholera,CO,38,cluster9
7086,'Malignant tumours',WA,889,cluster2
7087,'Influenza and pneumonia',AR,7,cluster8
7088,'Chronic lower respiratory diseases',KS,18,cluster5
7089,'Influenza and pneumonia',TX,29,cluster8
7090,Cholera,CA,57,cluster9
7091,'Diarrheal Diseases',WV,98,cluster1
7092,'Diarrheal Diseases',WA,13,cluster1
7093,Tuberculosis,GA,18,cluster6
7094,Cholera,OH,41,cluster9
7095,HIV/AIDS,VA,18,cluster0
7096,'Cerebrovascular Disease',IN,105,cluster3
7097,Cholera,SD,8,cluster9
7098,'Diarrheal Diseases',VA,13,cluster1
7099,Tuberculosis,FL,96,cluster6
7100,Tuberculosis,TX,6,cluster6
7101,Tuberculosis,AR,36,cluster6
7102,Cholera,CO,304,cluster9
7103,Malaria,MO,35,cluster7
7104,'Malignant tumours',OH,18,cluster2
7105,'Diarrheal Diseases',NY,127,cluster1
7106,'Cerebrovascular Disease',SD,22,cluster3
7107,'Diarrheal Diseases',GA,9,cluster1
7108,HIV/AIDS,TX,1,cluster0
7109,Malaria,KY,3,cluster7
7110,Malaria,MO,29,cluster7
7111,'Cerebrovascular Disease',MO,2,cluster3
7112,Malaria,KY,45,cluster7
7113,'Diabetes mellitus',VA,1,cluster4
7114,'Malignant tumours',IA,4,cluster2
7115,'Chronic lower respiratory diseases',OH,44,cluster5
7116,'Diarrheal Diseases',VA,26,cluster1
7117,'Diarrheal Diseases',MT,11,cluster1
7118,'Chronic lower respiratory diseases',NC,106,cluster5
7119,Cholera,AR,43,cluster9
7120,HIV/AIDS,LA,77,cluster0
7121,'Malignant tumours',AR,67,cluster2
7122,'Chronic lower respiratory diseases',TX,5,cluster5
7123,HIV/AIDS,IL,29,cluster0
7124,'Diarrheal Diseases',UT,7,cluster1
7125,'Malignant tumours',WA,13,cluster2
7126,HIV/AIDS,LA,17,cluster0
7127,Cholera,TN,32,cluster9
7128,'Influenza and pneumonia',OR,6,cluster8
7129,'Diarrheal Diseases',MS,38,cluster1
7130,Tuberculosis,WI,16,cluster6
7131,'Chronic lower respiratory diseases',AK,21,cluster5
7132,'Diarrheal Diseases',MI,2,cluster1
7133,'Influenza and pneumonia',TN,16,cluster8
7134,'Diabetes mellitus',NE,43,cluster4
7135,Malaria,IL,163,cluster7
7136,Tuberculosis,NM,87,cluster6
7137,'Cerebrovascular Disease',NC,12,cluster3
7138,'Diarrheal Diseases',NC,90,cluster1
7139,'Malignant tumours',NE,1,cluster2
7140,'Diabetes mellitus',TX,0,cluster4
7141,'Influenza and pneumonia',AZ,46,cluster8
7142,'Influenza and pneumonia',UT,773,cluster8
7143,'Influenza and pneumonia',MO,24,cluster8
7144,'Influenza and pneumonia',GA,14,cluster8
7145,'Malignant tumours',MN,33,cluster2
7146,'Diabetes mellitus',OK,6,cluster4
7147,'Cerebrovascular Disease',AR,6,cluster3
7148,'Malignant tumours',NC,42,cluster2
7149,HIV/AIDS,MN,6,cluster0
7150,Cholera,WI,34,cluster9
7151,'Diabetes mellitus',GA,8,cluster4
7152,'Diarrheal Diseases',WA,46,cluster1
7153,'Influenza and pneumonia',DC,560,cluster8
7154,Tuberculosis,MS,17,cluster6
7155,Cholera,KS,6,cluster9
7156,'Chronic lower respiratory diseases',GA,6,cluster5
7157,'Chronic lower respiratory diseases',GA,33,cluster5
7158,'Influenza and pneumonia',NV,88,cluster8
7159,'Diabetes mellitus',MD,54,cluster4
7160,'Diarrheal Diseases',CA,35,cluster1
7161,'Influenza and pneumonia',OR,90,cluster8
7162,'Influenza and pneumonia',NV,21,cluster8
7163,Cholera,KS,5,cluster9
7164,'Cerebrovascular Disease',ND,1,cluster3
7165,HIV/AIDS,TX,6,cluster0
7166,Malaria,NC,225,cluster7
7167,'Malignant tumours',LA,25,cluster2
7168,Tuberculosis,MO,15,cluster6
7169,'Diabetes mellitus',WI,43,cluster4
7170,'Malignant tumours',PA,311,cluster2
7171,'Diabetes mellitus',MD,322,cluster4
7172,'Influenza and pneumonia',AZ,9,cluster8
7173,'Influenza and pneumonia',IL,151,cluster8
7174,'Chronic lower respiratory diseases',MI,53,cluster5
7175,'Diarrheal Diseases',NC,193,cluster1
7176,Malaria,KS,3,cluster7
7177,'Diarrheal Diseases',NE,98,cluster1
7178,'Diabetes mellitus',OR,22,cluster4
7179,'Malignant tumours',NY,245,cluster2
7180,'Cerebrovascular Disease',PA,33,cluster3
7181,HIV/AIDS,TX,33,cluster0
7182,'Malignant tumours',WI,18,cluster2
7183,'Malignant tumours',AK,12,cluster2
7184,'Chronic lower respiratory diseases',VA,23,cluster5
7185,Malaria,LA,7,cluster7
7186,HIV/AIDS,IL,10,cluster0
7187,'Influenza and pneumonia',OR,5,cluster8
7188,'Cerebrovascular Disease',OH,445,cluster3
7189,HIV/AIDS,TN,14,cluster0
7190,'Malignant tumours',AL,4,cluster2
7191,Malaria,CA,74,cluster7
7192,Cholera,WI,13,cluster9
7193,'Diarrheal Diseases',OH,28,cluster1
7194,'Influenza and pneumonia',MN,11,cluster8
7195,'Chronic lower respiratory diseases',CO,2,cluster5
7196,Tuberculosis,MO,25,cluster6
7197,Tuberculosis,TN,63,cluster6
7198,Malaria,MN,29,cluster7
7199,'Influenza and pneumonia',TX,11,cluster8
7200,Malaria,NC,32,cluster7
7201,Tuberculosis,AL,35,cluster6
7202,Tuberculosis,OK,65,cluster6
7203,HIV/AIDS,NY,62,cluster0
7204,Tuberculosis,IA,32,cluster6
7205,Cholera,IA,5,cluster9
7206,HIV/AIDS,AL,47,cluster0
7207,Tuberculosis,MT,7,cluster6
7208,'Diarrheal Diseases',SD,1,cluster1
7209,Malaria,SD,1,cluster7
7210,'Influenza and pneumonia',TX,11,cluster8
7211,'Chronic lower respiratory diseases',OH,14,cluster5
7212,'Chronic lower respiratory diseases',MT,1,cluster5
7213,'Influenza and pneumonia',MN,9,cluster8
7214,'Influenza and pneumonia',KS,3,cluster8
7215,Tuberculosis,AR,20,cluster6
7216,'Malignant tumours',IN,56,cluster2
7217,'Malignant tumours',OK,102,cluster2
7218,'Malignant tumours',AR,57,cluster2
7219,'Diarrheal Diseases',CO,145,cluster1
7220,'Diarrheal Diseases',VA,30,cluster1
7221,'Malignant tumours',TX,17,cluster2
7222,'Influenza and pneumonia',SD,5,cluster8
7223,'Cerebrovascular Disease',VA,104,cluster3
7224,'Diarrheal Diseases',TX,1,cluster1
7225,'Malignant tumours',AL,45,cluster2
7226,Tuberculosis,SD,2,cluster6
7227,'Diabetes mellitus',KY,11,cluster4
7228,Tuberculosis,TN,55,cluster6
7229,Tuberculosis,TX,13,cluster6
7230,'Diabetes mellitus',MI,10,cluster4
7231,'Cerebrovascular Disease',NE,3,cluster3
7232,Malaria,CO,20,cluster7
7233,'Diabetes mellitus',MI,26,cluster4
7234,HIV/AIDS,VA,10,cluster0
7235,'Diarrheal Diseases',UT,56,cluster1
7236,Malaria,GA,3,cluster7
7237,'Chronic lower respiratory diseases',IL,30,cluster5
7238,Tuberculosis,IN,57,cluster6
7239,'Diarrheal Diseases',PA,385,cluster1
7240,Cholera,TX,22,cluster9
7241,'Diabetes mellitus',NE,3,cluster4
7242,'Chronic lower respiratory diseases',NC,22,cluster5
7243,'Diabetes mellitus',MI,60,cluster4
7244,Tuberculosis,MO,18,cluster6
7245,Malaria,MI,9,cluster7
7246,'Malignant tumours',KY,6,cluster2
7247,Malaria,NV,81,cluster7
7248,'Diabetes mellitus',FL,17,cluster4
7249,'Diarrheal Diseases',KS,9,cluster1
7250,'Cerebrovascular Disease',MI,58,cluster3
7251,'Influenza and pneumonia',NJ,302,cluster8
7252,'Influenza and pneumonia',IN,83,cluster8
7253,Cholera,MO,7,cluster9
7254,Malaria,MN,92,cluster7
7255,Cholera,GA,19,cluster9
7256,'Chronic lower respiratory diseases',VT,2,cluster5
7257,'Cerebrovascular Disease',AK,3,cluster3
7258,Tuberculosis,IN,8,cluster6
7259,'Chronic lower respiratory diseases',NH,67,cluster5
7260,'Diabetes mellitus',KY,7,cluster4
7261,'Malignant tumours',WI,137,cluster2
7262,Cholera,TX,26,cluster9
7263,'Malignant tumours',GA,1,cluster2
7264,'Malignant tumours',TX,19,cluster2
7265,'Malignant tumours',SC,155,cluster2
7266,Malaria,KS,4,cluster7
7267,'Chronic lower respiratory diseases',MN,25,cluster5
7268,'Influenza and pneumonia',OK,3,cluster8
7269,'Diarrheal Diseases',TX,31,cluster1
7270,Tuberculosis,FL,609,cluster6
7271,'Chronic lower respiratory diseases',IN,35,cluster5
7272,'Chronic lower respiratory diseases',NE,3,cluster5
7273,'Diarrheal Diseases',IL,12,cluster1
7274,HIV/AIDS,NC,95,cluster0
7275,'Chronic lower respiratory diseases',IL,24,cluster5
7276,'Diarrheal Diseases',OH,47,cluster1
7277,'Cerebrovascular Disease',WI,387,cluster3
7278,'Influenza and pneumonia',IN,16,cluster8
7279,'Malignant tumours',IA,28,cluster2
7280,HIV/AIDS,WI,427,cluster0
